364,Hayes,100,S
520,Cumberbatch,100,S
626,Randall,100,S
1657,Monaghan,100,S
594,Hunter,99,S
1112,Gay,99,S
106,Winters,98,S
742,Waterhouse,97,S
1652,Donnelly,97,S
1724,Kershaw,97,S
2054,Conroy,96,S
2117,Fairchild,96,S
2157,Levingston,96,S
2238,Morahan,96,S
698,Spendlove,95,S
1628,Cox,95,S
1720,Tiptoft,95,S
454,Bannerman,94,S
1372,Cromwell,94,S
1278,Wickins,93,S
829,Russell,92,S
1682,Irvine,92,S
1734,Hill,92,S
2218,Featherstonehaug\,92,S
457,Knox,91,S
1561,Archibald,91,S
1818,Weller,91,S
1415,Mabe,90,S
2090,Stevenson,90,S
1883,Hutson,89,A
2197,Carson,89,A
800,Jackson,88,A
1071,Kirk,88,A
1206,Galvin,88,A
2198,Dowding,88,A
1783,Redding,87,A
2085,Horsewood,87,A
1199,Squire,86,A
2022,Poole,85,A
281,Sheen,84,A
422,Wills,84,A
1003,Plaisted,84,A
1160,Gunnell,84,A
1213,Garson,84,A
1606,Keats,84,A
528,Mulcahy,83,A
1786,Lawrence,83,A
166,Elliott,82,A
426,Dalton,82,A
1036,Leek,82,A
1971,Sharpe,82,A
213,Withers,81,A
747,Wheatstone,81,A
1367,Driscoll,81,A
1676,Morse,81,A
388,Hoare,80,A
582,McDonnell,80,A
621,Starkey,80,A
1584,Windsor,80,A
1845,Goodgame,80,A
1059,Quine,79,B
1464,Kincaid,79,B
1560,Donne,79,B
145,Holloway,78,B
1018,Lightfoot,78,B
818,Sutton,77,B
1139,Ainsworth,77,B
1945,Carnall,77,B
2147,Sowell,77,B
593,Gaitskell,76,B
651,Fowles,76,B
130,Cardiff,75,B
1521,Chatwin,75,B
1907,Easdale,75,B
828,Wren,74,B
1355,Pilkington,74,B
2126,Nordley,74,B
1375,Odam,73,B
1387,Stanley,73,B
2042,Dimbleby,73,B
285,Arne,72,B
623,Davison,72,B
798,Wolsey,72,B
1031,Wilcox,71,B
15,Gettens,70,B
1137,Phillpotts,70,B
1760,Helson,70,B
363,Radcliffe,68,C
469,Fletcher,68,C
557,Makepeace,68,C
1021,O'Herlihy,68,C
1838,Connelly,68,C
1458,Attenborough,67,C
2188,Cope,67,C
738,Northmore,65,C
833,Cary,65,C
862,Dowson,65,C
1885,Addinsell,65,C
424,FitzSimons,64,C
629,Ashbery,64,C
1389,Moffat,64,C
1688,Hand,64,C
1844,Audubon,64,C
1575,Heywood,63,C
2223,Probert,63,C
535,MacMillan,61,C
942,Freemantle,60,C
1144,Thewlis,60,C
1769,Snell,59,D
379,Goldsmith,58,D
686,Toomey,58,D
302,Paulson,57,D
507,Sessions,57,D
181,Rowlatt,56,D
1119,Milnes,56,D
1295,Edkins,56,D
1556,O'Casey,56,D
2124,McFarlane,56,D
2142,Challis,56,D
1027,Kneen,55,D
1066,Ferry,55,D
1419,Skelding,55,D
980,Welty,54,D
1596,Godwin,54,D
1691,Uniacke,54,D
1723,Baker,54,D
1867,Murphy,54,D
80,Thorne,53,D
112,MacDonnel,53,D
249,Craven,53,D
842,McClure,52,D
89,Tayler,51,D
732,Beaumont,51,D
868,Whitehead,51,D
571,Whishaw,50,D
1243,Pelling,50,D
2217,O'Duffy,50,D
485,MacLaine,49,D
1651,Slocombe,49,D
647,Gruber,48,D
1625,Lennon,47,D
1787,Barks,47,D
952,Sullivan,46,D
57,Hadley,45,D
246,Harrison,45,D
317,Alexander,45,D
1421,Ronan,45,D
1057,Jeffers,44,D
1495,Tierney,44,D
1989,Cleverley,44,D
2220,Gregory,44,D
155,Tucker,43,D
655,Citrine,43,D
2081,Rodford,43,D
1480,Beckley,42,D
1717,Huddleston,42,D
1800,Hooper,42,D
2127,Colyer,42,D
1173,Bagley,41,D
274,Yates,40,D
963,Florey,40,D
1338,Larner,40,D
702,Montgomery,39,D
1014,Tragett,39,D
2183,Dempsey,39,D
96,Cutter,38,D
321,Ratcliffe,38,D
1141,Dobson,37,D
1245,Joyce,37,D
1605,Gilmore,37,D
1751,Rose,37,D
2194,Simon,37,D
95,Wilks,36,D
152,Findlay,36,D
664,Humfrey,36,D
813,Perceval,36,D
886,Eley,36,D
1445,Cavendish,36,D
632,Hales,35,D
640,Aynsley,35,D
1252,Graham,35,D
1544,Allison,35,D
125,Hammond,34,D
913,Moroney,34,D
1641,Rumbelow,34,D
1894,Solow,34,D
2178,Emery,34,D
326,Hydon,33,D
1727,Tennyson,33,D
178,Jenks,32,D
860,Anthony,32,D
1248,Grey,32,D
1613,Elphinstone,32,D
1827,Caldwell,32,D
615,McGregor,31,D
990,Hatson,31,D
1049,Moss,31,D
1803,Crowley,31,D
312,Entwistle,30,D
332,Macy,30,D
570,Cripps,29,D
645,Harding,29,D
1170,Kennett,29,D
1382,Lambert,29,D
1861,Alcott,29,D
1414,Heasman,28,D
1667,Forster,28,D
1873,Egan,28,D
289,Leakey,27,D
440,Shakespeare,27,D
1347,McCorquodale,27,D
1631,Battle,27,D
18,Cornell,26,D
1523,Howard,26,D
731,Inglis,25,D
801,Campbell,25,D
1454,Cole,25,D
2130,Myler,25,D
568,McKeone,24,D
2209,Kelly,24,D
147,Ballard,23,D
678,Giddens,23,D
1128,Holbein,23,D
1325,Woolf,23,D
1629,Walkinshaw,23,D
1886,Stephenson,23,D
292,Mack,22,D
772,McKay,22,D
796,Barraclough,22,D
1142,Hayward,22,D
1379,Hawkyard,22,D
939,Gwyn,21,D
1540,Cunningham,21,D
1340,Fugler,20,D
1211,Tanner,19,D
497,Gosling,18,D
1134,Harlow,17,D
1546,Evans,17,D
2059,Beamont,17,D
711,Coulfield,16,D
866,Farnon,16,D
367,Chichester,15,D
673,Sheridan,15,D
200,Westwick,14,D
444,Ager,14,D
761,Herschel,14,D
1056,Johnstone,14,D
1181,Covington,13,D
2228,Tye,13,D
727,Abercrombie,12,D
945,Ackroyd,12,D
947,Street,12,D
1224,Cleaves,12,D
1307,Darling,12,D
1396,Walthew,12,D
1953,Halmshaw,12,D
335,Wyeth,11,D
526,Weeden,11,D
1296,Bartlett,11,D
1549,Greenbury,11,D
2240,Haskell,11,D
144,Fisher,10,D
851,Ashton,10,D
1122,Nettleship,10,D
2233,O'Sullivan,10,D
1331,Purcell,7,D
2094,Coates,7,D
2136,Pearce,7,D
46,Stokes,6,D
954,Wainwright,6,D
1303,Raymond,6,D
1658,Nicolson,6,D
1933,Shoebridge,6,D
193,Dean,5,D
724,Derbyshire,4,D
1091,Dexter,4,D
1257,Rake,4,D
1364,Newton,4,D
42,Whittington,3,D
470,Eddington,3,D
876,Henryson,3,D
1368,Vernon,3,D
1627,Prichard,3,D
1874,O'Meara,3,D
2163,Amherst,3,D
1669,Partridge,2,D
1985,Pester,2,D
208,Waugh,1,D
935,Powell,1,D
1108,Warner,1,D
87,Ryle,0,D
1714,Syers,0,D
2182,Glasspool,0,D
